,Archipelago,Island1,Island2,beta_sor,beta_sim,beta_sne,mean_emerse_pres,mean_emerse_past,mean_island_age,Distance_km,diff_emerse_pres,diff_emerse_past,diff_island_age,d_past.y,diif_present_air,diff_past_air
308,Cape_Verde,Santiago,Sao_Vicente,0.236151603,0.114864865,0.121286739,946.71,1073.245,3.26,242.45,213.52,165.67,0.92,240.1747007,1.07652055,0.136483383
309,Cape_Verde,Santo_Antao,Sao_Vicente,0.352226721,0.191919192,0.160307529,996.93,1148.415,3.07,34.6,313.96,316.01,1.3,31.96857979,0,0.43856678
310,Cape_Verde,Brava,Boa_Vista,0.413127413,0.095238095,0.317889318,418.23,885.14,9,243.85,560.3,1462.7,12,235.7092062,0.38161644,0.352094269
311,Cape_Verde,Fogo,Boa_Vista,0.380597015,0.107526882,0.273070133,584.695,1055.015,9.525,214.94,227.37,1122.95,10.95,206.8767651,0.19832877,0.977899933
312,Cape_Verde,Fogo,Brava,0.209039548,0.166666667,0.042372881,304.545,323.665,3.525,36.38,332.93,339.75,1.05,35.7235878,0.18328767,0.625805664
313,Cape_Verde,Maio,Boa_Vista,0.253424658,0.068376068,0.185048589,522.68,1114.71,15,101.98,351.4,1003.56,0,90.74769609,0.37241096,0.050016784
314,Cape_Verde,Maio,Brava,0.303482587,0.166666667,0.13681592,242.53,383.36,9,171.01,208.9,459.14,12,167.1845188,0.00920548,0.402111053
315,Cape_Verde,Maio,Fogo,0.276190476,0.182795699,0.093394777,408.995,553.235,9.525,133.64,124.03,119.39,10.95,129.8920777,0.17408219,1.027916717
316,Cape_Verde,Saint_Nicholas,Boa_Vista,0.342465753,0.179487179,0.162978574,549.08,1037.67,15,168.46,298.6,1157.64,0,159.8814966,0.23457534,0.08920002
317,Cape_Verde,Saint_Nicholas,Brava,0.28358209,0.142857143,0.140724947,268.93,306.32,9,197.07,261.7,305.06,12,195.8983193,0.61619178,0.262894249
318,Cape_Verde,Saint_Nicholas,Fogo,0.285714286,0.193548387,0.092165899,435.395,476.195,9.525,185.27,71.23,34.69,10.95,184.1758782,0.43290411,0.888699913
319,Cape_Verde,Saint_Nicholas,Maio,0.264957265,0.264957265,0,373.38,476.195,15,195.97,52.8,34.69,0,193.1407889,0.6069863,0.139216804
320,Cape_Verde,Sal,Boa_Vista,0.300668151,0.102857143,0.197811009,481.34,1022.96,11.75,73.27,434.08,1187.06,6.5,62.97686702,0.22504109,0.03453331
321,Cape_Verde,Sal,Brava,0.558659218,0.05952381,0.499135408,201.19,291.61,5.75,283.69,126.22,275.64,5.5,280.8036897,0.60665753,0.317560959
322,Cape_Verde,Sal,Fogo,0.536784741,0.086021505,0.450763236,367.655,461.485,6.275,253.41,206.71,64.11,4.45,250.6012486,0.42336986,0.943366623
323,Cape_Verde,Sal,Maio,0.437340153,0.05982906,0.377511094,305.64,461.485,11.75,173.57,82.68,64.11,6.5,169.0261594,0.59745205,0.084550094
324,Cape_Verde,Sal,Saint_Nicholas,0.483375959,0.136752137,0.346623822,332.04,444.14,11.75,149.1,135.48,29.42,6.5,145.7759801,0.00953425,0.05466671
325,Cape_Verde,Santa_Luzia,Boa_Vista,0.642201835,0.093023256,0.549178579,739.925,1274.215,9.225,219.51,83.09,684.55,11.55,210.2845842,0.59679452,0.085149956
326,Cape_Verde,Santa_Luzia,Brava,0.480314961,0.23255814,0.247756821,459.775,542.865,3.225,210.95,643.39,778.15,0.45,209.1314069,0.97841096,0.266944313
327,Cape_Verde,Santa_Luzia,Fogo,0.485294118,0.186046512,0.299247606,626.24,712.74,3.75,207.15,310.46,438.4,0.6,205.4089658,0.79512329,0.892749977
328,Cape_Verde,Santa_Luzia,Maio,0.5125,0.093023256,0.419476744,564.225,712.74,9.225,240.98,434.49,438.4,11.55,237.5038765,0.96920548,0.13516674
329,Cape_Verde,Santa_Luzia,Saint_Nicholas,0.525,0.11627907,0.40872093,590.625,695.395,9.225,48.23,381.69,473.09,11.55,45.97369726,0.36221918,0.004050064
330,Cape_Verde,Santa_Luzia,Sal,0.753943218,0.093023256,0.660919962,522.885,680.685,5.975,193.74,517.17,502.51,5.05,189.7690677,0.37175343,0.050616646
331,Cape_Verde,Santiago,Boa_Vista,0.183783784,0.137142857,0.046640927,875.925,1386.285,8.9,145.22,355.09,460.41,12.2,136.5750978,0.47972603,0.086166573
332,Cape_Verde,Santiago,Brava,0.426523297,0.047619048,0.37890425,595.775,654.935,2.9,121.19,915.39,1002.29,0.2,119.9519205,0.09810959,0.265927696
333,Cape_Verde,Santiago,Fogo,0.388888889,0.053763441,0.335125448,762.24,824.81,3.425,81.48,582.46,662.54,1.25,80.31947939,0.28139726,0.89173336
334,Cape_Verde,Santiago,Maio,0.288461538,0.051282051,0.237179487,700.225,824.81,8.9,51.46,706.49,662.54,12.2,48.56439013,0.10731507,0.136183357
335,Cape_Verde,Santiago,Saint_Nicholas,0.320512821,0.094017094,0.226495726,726.625,807.465,8.9,183.31,653.69,697.23,12.2,181.6342109,0.71430137,0.003033447
