,Archipelago1.model,Archipelago2.model,beta_sor,beta_sim,beta_sne,mean_isolation,mean_reef_area,mean_past_isolation,mean_age,mean_past_reef_area,diff_isolation,diff_reef_area,diff_past_isolation,diff_age,diff_past_reef_area,key,Archipelago1.var,Archipelago2.var,Distance_raw,Distance,diff_sst,diff_past_sst,Group1,Group2
147,Islas_Revillagigedo,Marianas_Islands,0.803480886,0,0.803480886,832.2385036,28.036781,127.149303,20,1.357142836,152.9399074,43.809562,158.7160056,20,0.99999994,Islas_Revillagigedo/Marianas_Islands,Islas_Revillagigedo,Marianas_Islands,"10.719,98",10.719,4.01,4.9335,Within_Oceans,Pacific
148,Islas_Revillagigedo,Sao_Tome_Principe_and_Annobon,0.431644474,0.01306984,0.418574634,1607.41115,3.066,336.4334613,20.5,15.85714313,1703.285201,6.132,259.8523109,21,30.00000053,Islas_Revillagigedo/Sao_Tome_Principe_and_Annobon,Islas_Revillagigedo,Sao_Tome_Principe_and_Annobon,"13.092,05",13.092,2.56,1.57318,Across_Oceans,Pacific-Atlantic
149,Islas_Revillagigedo,Seychelles,0.520308405,2.46E-12,0.520308405,780.1809705,333.5190265,146.7243692,72.5,8.357142658,48.8248412,654.774053,119.5658732,125,14.99999958,Islas_Revillagigedo/Seychelles,Islas_Revillagigedo,Seychelles,"17.959,85",17.959,3.19,4.05345,Across_Oceans,Pacific-Indian
150,Islas_Revillagigedo,Virgin_Islands,0.568036187,0.424544307,0.14349188,714.4730485,204.2772725,221.8724117,60,7.000000208,82.5910028,396.290545,30.7302118,100,12.28571468,Islas_Revillagigedo/Virgin_Islands,Islas_Revillagigedo,Virgin_Islands,"5.058,08",5.058,3.1,2.25385,Across_Oceans,Pacific-Atlantic
151,Juan_Fernandez_Islands,Maldives,0.998777019,9.87E-16,0.998777019,1098.318103,969.562082,273.8935575,2.7,16.5714283,189.749495,1691.492776,503.1608714,2.6,33.1428566,Juan_Fernandez_Islands/Maldives,Juan_Fernandez_Islands,Maldives,"15.591,38",15.591,11.73,7.94963,Across_Oceans,Pacific-Indian
152,Juan_Fernandez_Islands,Maluku_Islands,0.990090073,2.20E-06,0.990087872,920.7241572,494.325768,263.2927009,2.4,31.7142849,544.9373856,741.020148,524.3625846,2,63.42856979,Juan_Fernandez_Islands/Maluku_Islands,Juan_Fernandez_Islands,Maluku_Islands,"15.012,46",15.012,11.85,8.47459,Within_Oceans,Pacific
153,Juan_Fernandez_Islands,Marianas_Islands,0.999360876,0,0.999360876,1050.950654,86.878628,286.6326467,15.7,0.928571403,284.4843927,73.874132,477.682693,28.6,1.857142806,Juan_Fernandez_Islands/Marianas_Islands,Juan_Fernandez_Islands,Marianas_Islands,"15.096,93",15.096,11.44,9.11796,Within_Oceans,Pacific
154,Juan_Fernandez_Islands,Sao_Tome_Principe_and_Annobon,0.987770696,0.151018761,0.836751935,1826.123301,61.907847,495.916805,16.2,15.4285717,1265.860901,123.815694,59.1143765,29.6,30.8571434,Juan_Fernandez_Islands/Sao_Tome_Principe_and_Annobon,Juan_Fernandez_Islands,Sao_Tome_Principe_and_Annobon,"9.603,17",9.603,9.99,2.61128,Across_Oceans,Pacific-Atlantic
155,Juan_Fernandez_Islands,Seychelles,0.998150479,0,0.998150479,998.8931206,392.3608735,306.2077129,68.2,7.928571225,388.5994589,537.090359,438.5325606,133.6,15.85714245,Juan_Fernandez_Islands/Seychelles,Juan_Fernandez_Islands,Seychelles,"13.609,81",13.609,10.62,8.23791,Across_Oceans,Pacific-Indian
156,Juan_Fernandez_Islands,Virgin_Islands,0.996487371,0.001802984,0.994684387,933.1851986,263.1191195,381.3557554,55.7,6.571428775,520.0153029,278.606851,288.2364756,108.6,13.14285755,Juan_Fernandez_Islands/Virgin_Islands,Juan_Fernandez_Islands,Virgin_Islands,"5.893,62",5.893,10.53,6.43831,Across_Oceans,Pacific-Atlantic
