,Archipelago1,Archipelago2,beta_sor,beta_sim,beta_sne,mean_isolation,mean_reef_area,mean_past_isolation,mean_age,mean_past_reef_area,diff_isolation,diff_reef_area,diff_past_isolation,diff_age,diff_past_reef_area,diff_sst,diff_past_sst,Distance,Group1,Group2
60,Bermuda,Juan_Fernandez_Islands,0.192787934,0.078574546,0.114213388,1006.028221,331.219347,417.7373113,24.2,1.714285732,374.3292572,414.807306,215.4733639,45.6,3.428571463,6.23,1.58891,7.441,Across_Oceans,Pacific-Atlantic
61,Bermuda,Maldives,0.206180581,0.008564506,0.197616074,911.1534739,1176.965735,166.1568756,25.5,18.28571403,184.5797622,1276.68547,287.6875075,43,29.71428514,5.5,6.36072,14.106,Across_Oceans,Atlantic-Indian
62,Bermuda,Maluku_Islands,0.241838132,0.008216446,0.233621685,733.5595286,701.729421,155.5560189,25.2,33.42857063,170.6081284,326.212842,308.8892207,43.6,59.99999833,5.62,6.88568,16.395,Across_Oceans,Pacific-Atlantic
63,Bermuda,Marianas_Islands,0.234174825,0.000326474,0.23384835,863.7860251,294.282281,178.8959647,38.5,2.642857135,89.8448645,488.681438,262.2093291,17,1.571428657,5.21,7.52905,13.96,Across_Oceans,Pacific-Atlantic
64,Bermuda,Sao_Tome_Principe_and_Annobon,0.106084917,0.093624747,0.01246017,1638.958672,269.3115,388.180123,39,17.14285743,1640.190158,538.623,156.3589874,16,27.42857194,3.76,1.02237,8.256,Within_Oceans,Atlantic
65,Bermuda,Seychelles,0.220124179,0.017394632,0.202729546,811.728492,599.7645265,198.4710309,91,9.642856957,14.2702017,122.283053,223.0591967,88,12.42857099,4.39,6.649,13.127,Across_Oceans,Atlantic-Indian
66,Bermuda,Virgin_Islands,0.102749127,0.080009948,0.022739179,746.02057,470.5227725,273.6190735,78.5,8.285714507,145.6860457,136.200455,72.7631117,63,9.714286087,4.3,4.8494,1.587,Within_Regions,Caribbean_Tropical_Atlantic
67,Canary_Islands,Cape_Verde,0.048810668,0.025598144,0.023212524,802.4663539,248.4795,617.630246,20,0,23.4256799,112.883,43.0856689,10,0,2.93,3.91472,1.609,Within_Regions,Eastern_Atlantic
68,Canary_Islands,Cook_Islands,0.167773891,0.041057532,0.126716359,792.0463793,121.825881,392.6642361,21.75,1.285714269,44.265629,140.424238,406.8463509,6.5,2.571428537,5.62,8.69504,16.242,Across_Oceans,Pacific-Atlantic
69,Canary_Islands,Fiji,0.215647712,0.010136082,0.20551163,800.3368943,1306.98496,306.2154913,26.5,16.7142849,27.6845991,2229.89392,579.7438403,3,33.42856979,5.77,9.0224,17.994,Across_Oceans,Pacific-Atlantic
70,Canary_Islands,French_Polynesia,0.172429436,0.019706447,0.152722989,776.8554313,103.1179005,409.8400955,33.4,1.5,74.6475251,177.840199,372.494632,16.8,3,6.22,7.73084,15.083,Across_Oceans,Pacific-Atlantic
71,Canary_Islands,Galapagos,0.128991896,0.093129111,0.035862784,1003.686022,157.926847,560.7807024,14.155,0,379.0136562,68.222306,70.6134183,21.69,0,2.27,6.00176,8.564,Across_Oceans,Pacific-Atlantic
72,Canary_Islands,Hawaii,0.170006941,0.023952267,0.146054674,926.3957919,283.975861,492.8552605,25,1.714285732,224.4331962,183.875722,206.4643021,0,3.428571463,4.29,8.8903,13.138,Across_Oceans,Pacific-Atlantic
73,Canary_Islands,Islas_Revillagigedo,0.118742122,0.065719791,0.053022331,784.9738719,99.085,401.2973587,17.5,0.428571433,58.4106439,185.906,389.5801057,15,0.857142866,3.4,4.81945,9.586,Across_Oceans,Pacific-Atlantic
74,Canary_Islands,Juan_Fernandez_Islands,0.199426714,0.037940063,0.161486651,1003.686022,157.926847,560.7807024,13.2,0,379.0136562,68.222306,70.6134183,23.6,0,4.03,0.63499,9.468,Across_Oceans,Pacific-Atlantic
75,Canary_Islands,Maldives,0.177376423,0.02546464,0.151911783,908.8112744,1003.673235,309.2002667,14.5,16.5714283,189.2641612,1623.27047,573.7742897,21,33.1428566,7.7,8.58462,9.9,Across_Oceans,Atlantic-Indian
76,Canary_Islands,Maluku_Islands,0.207665397,0.018467206,0.18919819,731.2173291,528.436921,298.59941,14.2,31.7142849,165.9237294,672.797842,594.9760029,21.6,63.42856979,7.82,9.10958,15.537,Across_Oceans,Pacific-Atlantic
77,Canary_Islands,Marianas_Islands,0.205055313,0.017259594,0.18779572,861.4438256,120.989781,321.9393558,27.5,0.928571403,94.5292635,142.096438,548.2961113,5,1.857142806,7.41,9.75295,14.942,Across_Oceans,Pacific-Atlantic
78,Canary_Islands,Sao_Tome_Principe_and_Annobon,0.090406727,0.033841879,0.056564848,1636.616472,96.019,531.2235141,28,15.4285717,1644.874557,192.038,129.7277948,6,30.8571434,5.96,3.24627,4.012,Within_Regions,Eastern_Atlantic
79,Canary_Islands,Seychelles,0.189184017,0.031293475,0.157890542,809.3862925,426.4720265,341.514422,80,7.928571225,9.5858027,468.868053,509.1459789,110,15.85714245,6.59,8.8729,8.569,Across_Oceans,Atlantic-Indian
80,Canary_Islands,Virgin_Islands,0.144131261,0.080230486,0.063900775,743.6783705,297.2302725,416.6624646,67.5,6.571428775,141.0016467,210.384545,358.8498939,85,13.14285755,6.5,7.0733,4.955,Within_Oceans,Atlantic
81,Cape_Verde,Cook_Islands,0.137422831,0.032267573,0.105155258,780.3335394,178.267381,414.2070705,16.75,1.285714269,20.8399491,253.307238,449.9320198,3.5,2.571428537,2.69,4.78032,15.353,Across_Oceans,Pacific-Atlantic
82,Cape_Verde,Fiji,0.188561054,0.00472689,0.183834164,788.6240543,1363.42646,327.7583258,21.5,16.7142849,4.2589192,2117.01092,622.8295092,13,33.42856979,2.84,5.10768,17.55,Across_Oceans,Pacific-Atlantic
83,Cape_Verde,French_Polynesia,0.141714974,0.010665328,0.131049646,765.1425913,159.5594005,431.38293,28.4,1.5,51.2218452,290.723199,415.5803009,26.8,3,3.29,3.81612,14.285,Across_Oceans,Pacific-Atlantic
84,Cape_Verde,Galapagos,0.094796657,0.080322657,0.014474001,991.973182,214.368347,582.3235368,9.155,0,402.4393361,181.105306,113.6990872,11.69,0,0.66,2.08704,7.574,Across_Oceans,Pacific-Atlantic
85,Cape_Verde,Hawaii,0.136289229,0.011470991,0.124818238,914.682952,340.417361,514.3980949,20,1.714285732,247.8588761,70.992722,249.549971,10,3.428571463,1.36,4.97558,13.631,Across_Oceans,Pacific-Atlantic
86,Cape_Verde,Islas_Revillagigedo,0.118208027,0.04104514,0.077162887,773.2610319,155.5265,422.8401931,12.5,0.428571433,34.984964,298.789,432.6657746,5,0.857142866,0.47,0.90473,9.319,Across_Oceans,Pacific-Atlantic
87,Cape_Verde,Juan_Fernandez_Islands,0.20883146,0.022145301,0.186686159,991.973182,214.368347,582.3235368,8.2,0,402.4393361,181.105306,113.6990872,13.6,0,6.96,3.27973,7.868,Across_Oceans,Pacific-Atlantic
88,Cape_Verde,Maldives,0.149811976,0.019898398,0.129913579,897.0984345,1060.114735,330.7431011,9.5,16.5714283,212.6898411,1510.38747,616.8599586,11,33.1428566,4.77,4.6699,10.732,Across_Oceans,Atlantic-Indian
89,Cape_Verde,Maluku_Islands,0.182674046,0.015608092,0.167065954,719.5044892,584.878421,320.1422445,9.2,31.7142849,142.4980495,559.914842,638.0616718,11.6,63.42856979,4.89,5.19486,16.875,Across_Oceans,Pacific-Atlantic
90,Cape_Verde,Marianas_Islands,0.17626025,0.009884694,0.166375555,849.7309856,177.431281,343.4821903,22.5,0.928571403,117.9549434,254.979438,591.3817802,15,1.857142806,4.48,5.83823,16.572,Across_Oceans,Pacific-Atlantic
