,Archipelago,Island1,Island2,beta_sor,beta_sim,beta_sne,mean_emerse_pres,mean_emerse_past,mean_island_age,Distance_km,diff_emerse_pres,diff_emerse_past,diff_island_age,d_past.y,diif_present_air,diff_past_air
29,Galapagos,Isabela,San_Cristobal,0.523156089,0.248648649,0.274507441,5065.385,7731,2.4,185.75,6361.91,8283.78,3.2,166.1993694,0.56084932,0.154216085
30,Galapagos,Isabela,Santa_Cruz,0.572474378,0.210810811,0.361663567,7251.185,10770.25,1.55,91.72,1990.31,2205.28,1.5,70.62925799,0.04583561,0.18085052
31,Galapagos,Isabela,Santiago_Island,0.540983607,0.394594595,0.146389012,7828.085,11127.945,1.1,78.54,836.51,1489.89,0.6,59.37444122,0.04583561,0.023866163
32,Galapagos,San_Cristobal,Santa_Cruz,0.292410714,0.203517588,0.088893126,4070.23,6628.36,3.15,105.48,4371.6,6078.5,1.7,85.32258084,0.60668493,0.335066605
33,Galapagos,San_Cristobal,Santiago_Island,0.329529244,0.224422442,0.105106802,4647.13,6986.055,2.7,155.56,5525.4,6793.89,2.6,137.3277641,0.60668493,0.130349922
34,Galapagos,Santa_Cruz,Santiago_Island,0.290886392,0.062706271,0.228180121,6832.93,10025.305,1.85,53.38,1153.8,715.39,0.9,33.60765263,0,0.130349922
35,Galapagos,Fernandina_Island,Espanola_Island,0.93877551,0.7,0.23877551,3093.865,4091.75,1.78,228.43,5989.47,7469.9,3.44,217.5005745,0.84386302,0.330887222
36,Galapagos,Floreana_Island,Espanola_Island,0.868512111,0.05,0.818512111,205.645,944.935,2.9,85.38,213.03,1176.27,1.2,68.21784208,0.01767123,0.122520638
37,Galapagos,Floreana_Island,Fernandina_Island,0.424719101,0.272727273,0.151991828,3200.38,4679.885,1.18,156.8,5776.44,6293.63,2.24,138.7879404,0.86153425,0.208366584
38,Galapagos,Genovesa_Island,Espanola_Island,0.794871795,0.789473684,0.005398111,62.065,200.09,2.15,189.82,74.13,313.42,2.7,183.8852362,0.90082192,0.099362755
39,Galapagos,Genovesa_Island,Fernandina_Island,0.876923077,0.368421053,0.508502024,3056.8,3935.04,0.43,189.4,6063.6,7783.32,0.74,182.6153345,0.0569589,0.430249977
40,Galapagos,Genovesa_Island,Floreana_Island,0.888888889,0.157894737,0.730994152,168.58,788.225,1.55,185.07,287.16,1489.69,1.5,172.0526021,0.91849315,0.221883393
41,Galapagos,Isabela,Espanola_Island,0.843902439,0.2,0.643902439,4172.735,6114.845,2.15,174.34,8147.21,11516.09,2.7,159.0582614,0.84386302,0.089203344
42,Galapagos,Isabela,Fernandina_Island,0.567867036,0.556818182,0.011048854,7167.47,9849.795,0.43,90.17,2157.74,4046.19,0.74,74.0383597,0,0.241683878
43,Galapagos,Isabela,Floreana_Island,0.475770925,0.356756757,0.119014168,4279.25,6702.98,1.55,89.17,7934.18,10339.82,1.5,66.80562725,0.86153425,0.033317294
44,Galapagos,Isabela,Genovesa_Island,0.852941176,0.210526316,0.642414861,4135.67,5958.135,0.8,192.22,8221.34,11829.51,0,181.0830214,0.0569589,0.188566099
45,Galapagos,San_Cristobal,Espanola_Island,0.90430622,0,0.90430622,991.78,1972.955,3.75,65.57,1785.3,3232.31,0.5,51.22158426,0.2830137,0.065012741
46,Galapagos,San_Cristobal,Fernandina_Island,0.557491289,0.278409091,0.279082198,3986.515,5707.905,2.03,119.67,4204.17,4237.59,3.94,104.4716826,0.56084932,0.395899963
47,Galapagos,San_Cristobal,Floreana_Island,0.340329835,0.182156134,0.158173701,1098.295,2561.09,3.15,121.55,1572.27,2056.04,1.7,100.1189501,0.30068493,0.187533379
48,Galapagos,San_Cristobal,Genovesa_Island,0.913669065,0.052631579,0.861037486,954.715,1816.245,2.4,141.88,1859.43,3545.73,3.2,131.6763443,0.61780822,0.034350014
49,Galapagos,San_Cristobal,Isabela,0.523156089,0.248648649,0.274507441,5065.385,7731,2.4,185.75,6361.91,8283.78,3.2,166.1993694,0.56084932,0.154216085
50,Galapagos,Santa_Cruz,Espanola_Island,0.926640927,0.05,0.876640927,3177.58,5012.205,2.9,112.22,6156.9,9310.81,1.2,96.33147282,0.88969863,0.065012741
51,Galapagos,Santa_Cruz,Fernandina_Island,0.534124629,0.107954545,0.426170084,6172.315,8747.155,1.18,74.18,167.43,1840.91,2.24,57.44157112,0.04583561,0.395899963
52,Galapagos,Santa_Cruz,Floreana_Island,0.358539765,0.085501859,0.273037907,3284.095,5600.34,2.3,72.72,5943.87,8134.54,0,49.74883866,0.90736986,0.187533379
53,Galapagos,Santa_Cruz,Genovesa_Island,0.934235977,0.105263158,0.828972819,3140.515,4855.495,1.55,115.81,6231.03,9624.23,1.5,104.0662328,0.01112329,0.034350014
54,Galapagos,Santa_Cruz,Isabela,0.572474378,0.210810811,0.361663567,7251.185,10770.25,1.55,91.72,1990.31,2205.28,1.5,70.62925799,0.04583561,0.154216085
55,Galapagos,Santa_Cruz,San_Cristobal,0.292410714,0.203517588,0.088893126,4070.23,6628.36,3.15,105.48,4371.6,6078.5,1.7,85.32258084,0.60668493,0
