,Archipelago,Island1,Island2,beta_sor,beta_turn,beta_nest,mean_emerse_pres,mean_emerse_past,mean_island_age,Distance_km,diff_emerse_pres,diff_emerse_past,diff_island_age,d_past.y,diif_present_air,diff_past_air
374,Cook_Islands,Mangaia,Aitutaki,0.0975055,0.002064296,0.095441204,40.835,53.19,9.62,393.12,15.25,10,17.56,392.0785031,1.6579452,0.218865395
375,Cook_Islands,Mangaia,Atiu,0.066972765,0.003491323,0.063481442,42.435,64.605,12.895,215.11,12.05,12.83,11.01,213.3834773,1.14553425,0.153237724
376,Cook_Islands,Mauke,Aitutaki,0.085123493,0.023961585,0.061161909,30.77,48.26,2.74,215.86,4.88,0.14,3.8,214.2754878,0.52131506,0.059621239
377,Cook_Islands,Mauke,Atiu,0.061619975,0.032004653,0.029615322,32.37,59.675,6.015,82.86,8.08,22.69,2.75,80.59046203,0.00890411,0.006006432
378,Cook_Islands,Mauke,Mangaia,0.03317402,1.93E-16,0.03317402,38.395,53.26,11.52,207.78,20.13,9.86,13.76,206.4844514,1.13663014,0.159244156
379,Cook_Islands,Mitiaro,Aitutaki,0.029125816,0.002209589,0.026916227,22.445,54.79,6.57,242.8,21.53,13.2,11.46,239.6424196,0.52131506,0.007074547
380,Cook_Islands,Mitiaro,Atiu,0.007395765,0.002248189,0.005147576,24.045,66.205,9.845,45.02,24.73,9.63,4.91,41.17739382,0.00890411,0.058553124
381,Cook_Islands,Mitiaro,Mangaia,0.070702173,0.001999411,0.068702762,30.07,59.79,15.35,229.32,36.78,3.2,6.1,226.4513832,1.13663014,0.211790848
382,Cook_Islands,Mitiaro,Mauke,0.065285076,0.030632093,0.034652983,20.005,54.86,8.47,46.12,16.65,13.06,7.66,42.70836795,0,0.052546692
383,Cook_Islands,Nassau,Aitutaki,0.351413632,0.030849429,0.320564203,18.6,42.255,9.67,1010.37,29.22,11.87,17.66,1007.431588,2.0720822,0.070237771
384,Cook_Islands,Nassau,Atiu,0.359082506,0,0.359082506,20.2,53.67,12.945,1216.44,32.42,34.7,11.11,1212.816562,2.58449315,0.0046101
385,Cook_Islands,Nassau,Mangaia,0.413331427,2.18E-16,0.413331427,26.225,47.255,18.45,1399.22,44.47,21.87,0.1,1396.570552,3.7300274,0.148627624
386,Cook_Islands,Nassau,Mauke,0.389958433,0.007348198,0.382610235,16.16,42.325,11.57,1282.29,24.34,12.01,13.86,1279.097537,2.59339726,0.010616532
387,Cook_Islands,Nassau,Mitiaro,0.354580216,0,0.354580216,7.835,48.855,15.4,1235.45,7.69,25.07,6.2,1230.684468,2.59339726,0.063163224
388,Cook_Islands,Rarotonga,Aitutaki,0.31291504,0,0.31291504,54.62,66.6,0.97,261.64,42.82,36.82,0.26,260.6923542,1.0309863,0.245684815
389,Cook_Islands,Rarotonga,Atiu,0.285314321,0.002342526,0.282971795,56.22,78.015,4.245,221.5,39.62,13.99,6.29,219.8673285,0.51857535,0.180057144
390,Cook_Islands,Rarotonga,Mangaia,0.243897969,0.025667593,0.218230377,62.245,71.6,9.75,206.93,27.57,26.82,17.3,206.2713178,0.6269589,0.02681942
391,Cook_Islands,Rarotonga,Mauke,0.263843123,0.011529273,0.25231385,52.18,66.67,2.87,278.53,47.7,36.68,3.54,277.3283026,0.50967124,0.186063576
392,Cook_Islands,Rarotonga,Mitiaro,0.290053473,0.002360878,0.287692595,43.855,73.2,6.7,261.49,64.35,23.62,11.2,258.7152344,0.50967124,0.238610268
393,Cook_Islands,Rarotonga,Nassau,0.583309365,0,0.583309365,40.01,60.665,9.8,1227.46,72.04,48.69,17.4,1224.904403,3.1030685,0.175447044
394,Cook_Islands,Takutea,Aitutaki,0.364112644,0.053180297,0.310932347,34.81,59.605,9.67,189.6,3.2,22.83,17.66,187.5845137,0.51241095,0.04515152
395,Cook_Islands,Takutea,Atiu,0.356762707,0,0.356762707,36.41,71.02,12.945,27.45,0,0,11.11,24.7494879,0,0.020476151
396,Cook_Islands,Takutea,Mangaia,0.411122904,0,0.411122904,42.435,64.605,18.45,238.08,12.05,12.83,0.1,236.3534773,1.14553425,0.173713875
397,Cook_Islands,Takutea,Mauke,0.383174852,0,0.383174852,32.37,59.675,11.57,105.58,8.08,22.69,13.86,103.310462,0.00890411,0.014469719
398,Cook_Islands,Takutea,Mitiaro,0.352251888,0,0.352251888,24.045,66.205,15.4,61.92,24.73,9.63,6.2,58.07739382,0.00890411,0.038076973
399,Cook_Islands,Takutea,Nassau,0.48412091,0.482744676,0.001376234,20.2,53.67,18.5,220.74,32.42,34.7,0,217.1165625,2.58449315,0.025086251
400,Cook_Islands,Takutea,Rarotonga,0.581551274,0,0.581551274,56.22,78.015,9.8,220.58,39.62,13.99,17.4,218.9473285,0.51857535,0.200533295
401,Fiji,Cakaudrove,Nadroga_Navosa,0.875660408,5.05E-05,0.87560989,4564.305,6356.985,28,264.23,329.39,1702.49,0,250.6868048,0.26,0.085769462
402,Fiji,Cakaudrove,Namosi,0.861619916,0.449860032,0.411759884,5630.68,7361.735,28,213.27,2462.14,307.01,0,200.6171781,1.51389041,0.120819473
