,Archipelago1,Archipelago2,beta_sor,beta_sim,beta_sne,diff_isolation,diff_reef_area,diff_past_isolation,diff_age,diff_past_reef_area,diff_sst,diff_past_sst,mean_sst,mean_past_sst,Group1,Group2,Archipelago1.var,Archipelago2.var,Distance_raw,Distance
152,Juan_Fernandez_Islands,Maluku_Islands,0.998247152,0.981481481,0.01676567,544.9373856,741.020148,524.3625846,2,63.42856979,11.85,8.47459,23.595,23.028585,Within_Oceans,Pacific,Juan_Fernandez_Islands,Maluku_Islands,"15.012,46",15.012
153,Juan_Fernandez_Islands,Marianas_Islands,0.996070727,0.962962963,0.033107764,284.4843927,73.874132,477.682693,28.6,1.857142806,11.44,9.11796,23.39,23.35027,Within_Oceans,Pacific,Juan_Fernandez_Islands,Marianas_Islands,"15.096,93",15.096
154,Juan_Fernandez_Islands,Sao_Tome_Principe_and_Annobon,0.9921875,0.981481481,0.010706019,1265.860901,123.815694,59.1143765,29.6,30.8571434,9.99,2.61128,22.665,20.09693,Across_Oceans,Pacific-Atlantic,Juan_Fernandez_Islands,Sao_Tome_Principe_and_Annobon,"9.603,17",9.603
155,Juan_Fernandez_Islands,Seychelles,0.998114986,0.981481481,0.016633504,388.5994589,537.090359,438.5325606,133.6,15.85714245,10.62,8.23791,22.98,22.910245,Across_Oceans,Pacific-Indian,Juan_Fernandez_Islands,Seychelles,"13.609,81",13.609
156,Juan_Fernandez_Islands,Virgin_Islands,0.995485327,0.981481481,0.014003846,520.0153029,278.606851,288.2364756,108.6,13.14285755,10.53,6.43831,22.935,22.010445,Across_Oceans,Pacific-Atlantic,Juan_Fernandez_Islands,Virgin_Islands,"5.893,62",5.893
157,Maldives,Maluku_Islands,0.55754858,0.517391304,0.040157276,355.1878906,950.472628,21.20171324,0.6,30.28571319,0.12,0.52496,29.46,27.0034,Across_Oceans,Pacific-Indian,Maldives,Maluku_Islands,"6.316,95",6.316
158,Maldives,Marianas_Islands,0.427813163,0.414130435,0.013682729,94.7348977,1765.366908,25.47817835,26,31.28571379,0.29,1.16833,29.255,27.325085,Across_Oceans,Pacific-Indian,Maldives,Marianas_Islands,"7.959,17",7.959
159,Maldives,Sao_Tome_Principe_and_Annobon,0.973262032,0.925742574,0.047519458,1455.610396,1815.30847,444.0464949,27,2.2857132,1.74,5.33835,28.53,24.071745,Across_Oceans,Atlantic-Indian,Sao_Tome_Principe_and_Annobon,Maldives,"7.444,68",7.444
160,Maldives,Seychelles,0.310845874,0.27826087,0.032585005,198.8499639,1154.402417,64.62831078,131,17.28571415,1.11,0.28828,28.845,26.88506,Within_Regions,Indian_Ocean,Seychelles,Maldives,"2.202,3",2.202
161,Maldives,Virgin_Islands,0.97249809,0.953727506,0.018770584,330.2658079,1412.885925,214.9243958,106,19.99999905,1.2,1.51132,28.8,25.98526,Across_Oceans,Atlantic-Indian,Virgin_Islands,Maldives,"14.873,63",14.873
