,Archipelago,Island1,Island2,beta_sor,beta_nest,beta_turn,mean_emerse_pres,mean_emerse_past,mean_island_age,Distance_km,diff_emerse_pres,diff_emerse_past,diff_island_age,d_past.y,diif_present_air,diff_past_air
,Hawaii,Kure,Lanai,0.198867274,0.077804376,0.121062898,877.68,2087.53,13.14,2207.93,1746.68,3109.68,23.72,2185.64244,2.39586301,0.115262286
,Hawaii,Kure,Maui,0.124380253,0.11735459,0.007025663,3929.66,5586.845,13.16,2373.55,7850.64,10108.31,23.68,2353.507893,1.07487671,0.052912394
,Hawaii,Kure,Molokai,0.131740017,0.108348979,0.023391038,1876.605,3864.445,22.45,2293.77,3744.53,6663.51,5.1,2268.607588,2.39586301,0.237895648
,Hawaii,Kure,Niihau,0.15686143,0.057094076,0.099767354,153.48,665.42,25,1962.96,298.28,265.46,0,1944.989217,2.46873973,0.267712275
,Hawaii,Kure,Oahu,0.152180977,0.131977992,0.020202985,1242.785,2950.54,13.8,2189.78,2476.89,4835.7,22.4,2164.699424,2.25150685,0.200545756
,Hawaii,Lanai,Maui,0.123446022,0,0.123446022,4803,7141.685,1.3,65.61,6103.96,6998.63,0.04,46.97269816,1.3209863,0.062349892
,Hawaii,Lanai,Molokai,0.111056099,0.00631537,0.104740729,2749.945,5419.285,10.59,36.85,1997.85,3553.83,18.62,13.09239288,0,0.122633362
,Hawaii,Lanai,Niihau,0.093240134,0.069200213,0.02403992,1026.82,2220.26,13.14,356.68,1448.4,2844.22,23.72,340.1140219,0.07287672,0.152449989
,Hawaii,Lanai,Oahu,0.154809049,0.000860942,0.153948107,2116.125,4505.38,1.94,118.4,730.21,1726.02,1.32,94.72422924,0.14435616,0.08528347
,Hawaii,Maui,Molokai,0.025292054,0.007145213,0.018146842,5801.925,8918.6,10.61,89.79,4106.11,3444.8,18.58,68.27784588,1.3209863,0.184983254
,Hawaii,Maui,Niihau,0.125684349,0.030766234,0.094918115,4078.8,5719.575,13.16,414.1,7552.36,9842.85,23.68,399.7794749,1.39386302,0.214799881
,Hawaii,Maui,Oahu,0.079514553,0.049842335,0.029672218,5168.105,8004.695,1.96,192.55,5373.75,5272.61,1.28,171.1196822,1.17663014,0.147633362
,Hawaii,Molokai,Niihau,0.107377418,0.029972653,0.077404766,2025.745,3997.175,22.45,413.46,3446.25,6398.05,5.1,394.0191696,0.07287672,0.029816627
,Hawaii,Molokai,Oahu,0.098261687,0.051323121,0.046938566,3115.05,6282.295,11.25,109.18,1267.64,1827.81,17.3,82.62937696,0.14435616,0.037349892
,Hawaii,Niihau,Oahu,0.189958646,0.070236734,0.119721912,1391.925,3083.27,13.8,229.79,2178.61,4570.24,22.4,210.431006,0.21723288,0.067166519
